fen,cp
6kr/6p1/p1r4p/p3b3/1P2P3/3P4/2P3KP/1RB5 w - - 1 31,-508
6kr/6p1/p1r4p/p3b3/1PP1P3/3P4/6KP/1RB5 b - - 0 31,516
6kr/6p1/p2r3p/p3b3/1PP1P3/3P4/6KP/1RB5 w - - 1 32,-459
6kr/6p1/p2r3p/P3b3/2P1P3/3P4/6KP/1RB5 b - - 0 32,460
6kr/6p1/p6p/P3b3/2P1P3/3r4/6KP/1RB5 w - - 0 33,-492
6kr/6p1/p6p/P1P1b3/4P3/3r4/6KP/1RB5 b - - 0 33,540
6kr/6p1/p6p/P1P1b3/4P3/2r5/6KP/1RB5 w - - 1 34,-521
6kr/6p1/p6p/P1P1b3/4P3/2r5/7P/1RB4K b - - 2 34,550
6kr/6p1/p6p/P1P1b3/2r1P3/8/7P/1RB4K w - - 3 35,-453
6kr/6p1/p6p/P1P1b3/2r1P3/8/3B3P/1R5K b - - 4 35,525
6kr/6p1/p6p/P1P1b3/4r3/8/3B3P/1R5K w - - 0 36,-467
6kr/6p1/p6p/P1P1b3/4r3/8/3B3P/4R2K b - - 1 36,630
6kr/6p1/p6p/P1P1b3/8/8/7P/4B2K b - - 0 37,638
7r/5kp1/p6p/P1P1b3/8/8/7P/4B2K w - - 1 38,-641
7r/5kp1/p6p/P1P1b3/8/8/7P/4B1K1 b - - 2 38,657
7r/5kp1/p6p/P1P5/3b4/8/5B1P/6K1 b - - 4 39,675
7r/5kp1/p6p/P1P5/8/8/5K1P/8 b - - 0 40,666
2r5/5kp1/p6p/P1P5/8/8/5K1P/8 w - - 1 41,-702
2r5/5kp1/p1P4p/P7/8/8/5K1P/8 b - - 0 41,697
8/5kp1/p1r4p/P7/8/8/5K1P/8 w - - 0 42,-712
8/5kp1/p1r4p/P7/8/7P/5K2/8 b - - 0 42,715
8/5kp1/p6p/P1r5/8/7P/5K2/8 w - - 1 43,-707
8/5kp1/p6p/P1r5/8/7P/8/5K2 b - - 2 43,695
8/6p1/p3k2p/P1r5/8/7P/8/5K2 w - - 3 44,-699
8/6p1/p3k2p/P1r5/8/7P/4K3/8 b - - 4 44,698
8/6p1/p3k2p/P6r/8/7P/4K3/8 w - - 5 45,-696
8/6p1/p3k2p/P6r/8/7P/8/3K4 b - - 6 45,736
8/6p1/p3k2p/P7/8/7r/8/3K4 w - - 0 46,-734
