fen,cp
4k3/8/8/8/8/2B5/6R1/6K1 w - - 35 73,459
4k3/6R1/8/8/8/2B5/8/6K1 b - - 36 73,-468
3k4/6R1/8/8/8/2B5/8/6K1 w - - 37 74,470
3k4/6R1/8/4B3/8/8/8/6K1 b - - 38 74,-497
2k5/6R1/8/4B3/8/8/8/6K1 w - - 39 75,483
2k5/6R1/3B4/8/8/8/8/6K1 b - - 40 75,-444
3k4/6R1/3B4/8/8/8/8/6K1 w - - 41 76,472
2k5/2B3R1/8/8/8/8/8/6K1 w - - 43 77,496
2k5/2B1R3/8/8/8/8/8/6K1 b - - 44 77,-451
8/1kB1R3/8/8/8/8/8/6K1 w - - 45 78,429
8/1kB4R/8/8/8/8/8/6K1 b - - 46 78,-368
8/2B4R/2k5/8/8/8/8/6K1 w - - 47 79,414
8/7R/2k5/8/8/6B1/8/6K1 b - - 48 79,-346
8/7R/8/2k5/8/6B1/8/6K1 w - - 49 80,409
8/7R/2k5/8/8/8/5B2/6K1 w - - 51 81,405
8/7R/2k5/8/8/4B3/8/6K1 b - - 52 81,-372
8/7R/3k4/8/8/4B3/8/6K1 w - - 53 82,367
8/1R6/3k4/8/8/4B3/8/6K1 b - - 54 82,-360
8/1R6/2k5/8/8/4B3/8/6K1 w - - 55 83,364
8/4R3/2k5/8/8/4B3/8/6K1 b - - 56 83,-309
8/4R3/3k4/8/8/4B3/8/6K1 w - - 57 84,363
8/4R3/3k3B/8/8/8/8/6K1 b - - 58 84,17
8/4k3/7B/8/8/8/8/6K1 w - - 0 85,-14
r1bqkbnr/p1pppppp/2n5/1p6/4P3/3P1N2/PPP2PPP/RNBQKB1R b KQkq - 2 3,-104
r1bqkbnr/p1pp1ppp/2n5/1p2p3/4P3/3P1N2/PPP2PPP/RNBQKB1R w KQkq - 0 4,115
r1bqkbnr/p1pp1ppp/2n5/1p2p3/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 4,-112
r1bqkbnr/p1pp1ppp/2n5/1p6/3pP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 5,131
r1bqkbnr/p1pp1ppp/2n5/1p6/3NP3/8/PPP2PPP/RNBQKB1R b KQkq - 0 5,-108
r1bqkbnr/p1pp1ppp/8/1p6/3nP3/8/PPP2PPP/RNBQKB1R w KQkq - 0 6,96
r1bqkbnr/p1pp1ppp/8/1p6/3QP3/8/PPP2PPP/RNB1KB1R b KQkq - 0 6,-95
r1bqkbnr/p1pp1ppp/8/8/1p1QP3/8/PPP2PPP/RNB1KB1R w KQkq - 0 7,102
r1bqkbnr/p1pp1ppp/8/4P3/1p1Q4/8/PPP2PPP/RNB1KB1R b KQkq - 0 7,-93
r2qkbnr/pbpp1ppp/8/4P3/1p1Q4/8/PPP2PPP/RNB1KB1R w KQkq - 1 8,101
r2qkbnr/pbpp1ppp/8/4P3/1p1Q4/8/PPPN1PPP/R1B1KB1R b KQkq - 2 8,-117
r3kbnr/pbppqppp/8/4P3/1p1Q4/8/PPPN1PPP/R1B1KB1R w KQkq - 3 9,115
r3kbnr/pbppqppp/8/4P3/1p1Q4/5N2/PPP2PPP/R1B1KB1R b KQkq - 4 9,-51
r3kbnr/1bppqppp/8/p3P3/1p1Q4/5N2/PPP2PPP/R1B1KB1R w KQkq - 0 10,146
r3kbnr/1bppqppp/8/p3P3/1p1Q4/5N2/PPP1BPPP/R1B1K2R b KQkq - 1 10,-53
r3kbnr/1bp1qppp/3p4/p3P3/1p1Q4/5N2/PPP1BPPP/R1B1K2R w KQkq - 0 11,231
r3kbnr/1bp1qppp/3p4/p3P3/1p1Q4/5N2/PPP1BPPP/R1B2RK1 b kq - 1 11,-245
2kr1bnr/1bp1qppp/3p4/p3P3/1p1Q4/5N2/PPP1BPPP/R1B2RK1 w - - 2 12,348
2kr1bnr/1bp1qppp/3p4/p3P3/1p1Q4/5N2/PPP1BPPP/R1BR2K1 b - - 3 12,-191
2kr1bnr/1bp1qpp1/3p4/p3P2p/1p1Q4/5N2/PPP1BPPP/R1BR2K1 w - - 0 13,411
2kr1bnr/1bp1qpp1/3p4/p3P2p/1p1Q4/4BN2/PPP1BPPP/R2R2K1 b - - 1 13,-270
2kr1b1r/1bp1qpp1/3p3n/p3P2p/1p1Q4/4BN2/PPP1BPPP/R2R2K1 w - - 2 14,410
2kr1b1r/1bp1qpp1/3p3n/p3P1Bp/1p1Q4/5N2/PPP1BPPP/R2R2K1 b - - 3 14,-332
2kr1b1r/1bp1q1p1/3p1p1n/p3P1Bp/1p1Q4/5N2/PPP1BPPP/R2R2K1 w - - 0 15,363
2kr1b1r/1bp1q1p1/3p1P1n/p5Bp/1p1Q4/5N2/PPP1BPPP/R2R2K1 b - - 0 15,152
2kr1b1r/1bp3p1/3p1P1n/p5Bp/1p1Q4/5N2/PPP1qPPP/R2R2K1 w - - 0 16,-183
2kr1b1r/1bp3P1/3p3n/p5Bp/1p1Q4/5N2/PPP1qPPP/R2R2K1 b - - 0 16,262
2kr3r/1bp3b1/3p3n/p5Bp/1p1Q4/5N2/PPP1qPPP/R2R2K1 w - - 0 17,-259
2kr3r/1bp3Q1/3p3n/p5Bp/1p6/5N2/PPP1qPPP/R2R2K1 b - - 0 17,259
2k3rr/1bp3Q1/3p3n/p5Bp/1p6/5N2/PPP1qPPP/R2R2K1 w - - 1 18,-286
2k3rr/1bp5/3p1Q1n/p5Bp/1p6/5N2/PPP1qPPP/R2R2K1 b - - 2 18,288
2k3rr/2p5/3p1Q1n/p5Bp/1p6/5b2/PPP1qPPP/R2R2K1 w - - 0 19,-291
2k3rr/2p5/3p1Q1n/p5Bp/1p6/5b2/PPP1qPPP/R3R1K1 b - - 1 19,294
2k3rr/2p5/3p1Q1n/pq4Bp/1p6/5b2/PPP2PPP/R3R1K1 w - - 2 20,-285
2k3rr/2p5/3p1Q1n/pq4Bp/1p5P/5b2/PPP2PP1/R3R1K1 b - - 0 20,341
2k3rr/2p5/2bp1Q1n/pq4Bp/1p5P/8/PPP2PP1/R3R1K1 w - - 1 21,-345
2k3rr/2p5/2bp1Q1n/pq4Bp/1p5P/P7/1PP2PP1/R3R1K1 b - - 0 21,349
2k3rr/2p5/2bp1Q2/pq3nBp/1p5P/P7/1PP2PP1/R3R1K1 w - - 1 22,-331
2k3rr/2p5/2bp1Q2/pq3nBp/1P5P/8/1PP2PP1/R3R1K1 b - - 0 22,332
2k3rr/2p5/2bp1Q2/pq4Bp/1P5n/8/1PP2PP1/R3R1K1 w - - 0 23,-266
2k3rr/2p5/2bp1Q2/Rq4Bp/1P5n/8/1PP2PP1/4R1K1 b - - 0 23,217
2k3rr/2p5/2bp1Q2/R5Bp/1q5n/8/1PP2PP1/4R1K1 w - - 0 24,-377
2k3rr/2p5/2bp1Q2/R5Bp/1q5n/8/1PP2PP1/R5K1 b - - 1 24,506
2k3rr/2p5/2bp1Q2/R5Bp/6qn/8/1PP2PP1/R5K1 w - - 2 25,-435
2k3rr/2p5/2bp1Q2/3R2Bp/6qn/8/1PP2PP1/R5K1 b - - 3 25,9999
rnbqkb1r/p1pppppp/1p3n2/8/3N4/1P6/P1PPPPPP/RNBQKB1R b KQkq - 0 3,132
rnbqkb1r/p1pp1ppp/1p3n2/4p3/3N4/1P6/P1PPPPPP/RNBQKB1R w KQkq - 0 4,-131
rnbqkb1r/p1pp1ppp/1p3n2/4p3/8/1P3N2/P1PPPPPP/RNBQKB1R b KQkq - 1 4,146
rnbqkb1r/p1pp1pp1/1p3n2/4p2p/8/1P3N2/P1PPPPPP/RNBQKB1R w KQkq - 0 5,88
rnbqkb1r/p1pp1pp1/1p3n2/4N2p/8/1P6/P1PPPPPP/RNBQKB1R b KQkq - 0 5,-79
rnbqkb1r/p1p2pp1/1p1p1n2/4N2p/8/1P6/P1PPPPPP/RNBQKB1R w KQkq - 0 6,124
rnbqkb1r/p1p2pp1/1p1p1n2/7p/8/1P3N2/P1PPPPPP/RNBQKB1R b KQkq - 1 6,-117
rnbqkb1r/p1p2pp1/1p3n2/3p3p/8/1P3N2/P1PPPPPP/RNBQKB1R w KQkq - 0 7,113
rnbqkb1r/p1p2pp1/1p3n2/3p3p/3P4/1P3N2/P1P1PPPP/RNBQKB1R b KQkq - 0 7,-99
rnbqkb1r/p4pp1/1p3n2/2pp3p/3P4/1P3N2/P1P1PPPP/RNBQKB1R w KQkq - 0 8,138
rnbqkb1r/p4pp1/1p3n2/2pp3p/3P4/1P2PN2/P1P2PPP/RNBQKB1R b KQkq - 0 8,-128
r1bqkb1r/p2n1pp1/1p3n2/2pp3p/3P4/1P2PN2/P1P2PPP/RNBQKB1R w KQkq - 1 9,140
r1bqkb1r/p2n1pp1/1p3n2/2pp3p/3P4/1PN1PN2/P1P2PPP/R1BQKB1R b KQkq - 2 9,-109
r1bqkb1r/p2n1pp1/1p3n2/3p3p/3p4/1PN1PN2/P1P2PPP/R1BQKB1R w KQkq - 0 10,162
r1bqkb1r/p2n1pp1/1p3n2/3p3p/3P4/1PN2N2/P1P2PPP/R1BQKB1R b KQkq - 0 10,-102
r1bqk2r/p2n1pp1/1p3n2/3p3p/1b1P4/1PN2N2/P1P2PPP/R1BQKB1R w KQkq - 1 11,115
r1bqk2r/p2n1pp1/1p6/3p3p/1b1Pn3/1PN2N2/P1P1QPPP/R1B1KB1R w KQkq - 3 12,-77
r1bqk2r/p2n1pp1/1p6/3p3p/1b1Pn3/1PN2N2/P1PBQPPP/R3KB1R b KQkq - 4 12,92
r1bqk2r/p2n1pp1/1p6/3p3p/3Pn3/1Pb2N2/P1PBQPPP/R3KB1R w KQkq - 0 13,-80
r1bqk2r/p2n1pp1/1p6/3p3p/3Pn3/1PB2N2/P1P1QPPP/R3KB1R b KQkq - 0 13,74
r1bq1rk1/p2n1pp1/1p6/3p3p/3Pn3/1PB2N2/P1P1QPPP/R3KB1R w KQ - 1 14,-73
r1bq1rk1/p2n1pp1/1p6/3p3p/3Pn3/1P3N2/P1PBQPPP/R3KB1R b KQ - 2 14,149
r1bqr1k1/p2n1pp1/1p6/3p3p/3Pn3/1P3N2/P1PBQPPP/R3KB1R w KQ - 3 15,-147
r1bqr1k1/p2n1pp1/1p6/3p3p/3Pn3/1P2BN2/P1P1QPPP/R3KB1R b KQ - 4 15,153
r1bqr1k1/p4pp1/1p3n2/3p3p/3Pn3/1P2BN2/P1P1QPPP/R3KB1R w KQ - 5 16,-153
r1bqr1k1/p4pp1/1p3n2/3pN2p/3Pn3/1P2B3/P1P1QPPP/R3KB1R b KQ - 6 16,162
r1bqr1k1/p4pp1/1p6/3pN2p/3Pn1n1/1P2B3/P1P1QPPP/R3KB1R w KQ - 7 17,-161
r1bqr1k1/p4pp1/1p6/3p3p/3Pn1N1/1P2B3/P1P1QPPP/R3KB1R b KQ - 0 17,276
r2qr1k1/p4pp1/1p6/3p3p/3Pn1b1/1P2B3/P1P1QPPP/R3KB1R w KQ - 0 18,-277
r2qr1k1/p4pp1/1p6/3p3p/3Pn1b1/1P1QB3/P1P2PPP/R3KB1R b KQ - 1 18,251
2rqr1k1/p4pp1/1p6/3p3p/3Pn1b1/1P1QB3/P1P2PPP/R3KB1R w KQ - 2 19,-319
2rqr1k1/p4pp1/1p6/3p3p/3Pn1b1/1P1QBP2/P1P3PP/R3KB1R b KQ - 0 19,314
3qr1k1/p4pp1/1p6/3p3p/3Pn1b1/1PrQBP2/P1P3PP/R3KB1R w KQ - 1 20,-213
3qr1k1/p4pp1/1p6/3p3p/3PP1b1/1PrQB3/P1P3PP/R3KB1R b KQ - 0 20,203
3qr1k1/p4pp1/1p6/3p3p/3PP1b1/1P1rB3/P1P3PP/R3KB1R w KQ - 0 21,-211
3qr1k1/p4pp1/1p6/3p3p/3PP1b1/1P1BB3/P1P3PP/R3K2R b KQ - 0 21,236
3qr1k1/p4pp1/1p6/7p/3Pp1b1/1P1BB3/P1P3PP/R3K2R w KQ - 0 22,-206
3qr1k1/p4pp1/1p6/1B5p/3Pp1b1/1P2B3/P1P3PP/R3K2R b KQ - 1 22,220
3qr1k1/p2b1pp1/1p6/1B5p/3Pp3/1P2B3/P1P3PP/R3K2R w KQ - 2 23,-221
3qr1k1/p2B1pp1/1p6/7p/3Pp3/1P2B3/P1P3PP/R3K2R b KQ - 0 23,226
4r1k1/p2q1pp1/1p6/7p/3Pp3/1P2B3/P1P3PP/R3K2R w KQ - 0 24,-209
4r1k1/p2q1pp1/1p6/7p/3Pp3/1P2B3/P1P3PP/R4RK1 b - - 1 24,235
4r1k1/p4pp1/1pq5/7p/3Pp3/1P2B3/P1P3PP/R4RK1 w - - 2 25,-169
4r1k1/p4pp1/1pq5/7p/3Pp3/1P2B3/P1P3PP/2R2RK1 b - - 3 25,308
4r1k1/p4pp1/2q5/1p5p/3Pp3/1P2B3/P1P3PP/2R2RK1 w - - 0 26,-122
4r1k1/p4pp1/2q5/1p5p/3Pp3/1P2B3/P1P3PP/2RR2K1 b - - 1 26,291
4r1k1/p4pp1/8/1p5p/3Pp3/1Pq1B3/P1P3PP/2RR2K1 w - - 2 27,-308
4r1k1/p4pp1/8/1p5p/3Pp3/1Pq1B3/P1P3PP/2R1R1K1 b - - 3 27,343
4r1k1/p4pp1/8/1p5p/3Pp3/1P2B3/PqP3PP/2R1R1K1 w - - 4 28,-192
4r1k1/p4pp1/8/1p5p/3Pp3/1P2B3/PqP3PP/2R2RK1 b - - 5 28,321
4r1k1/5pp1/p7/1p5p/3Pp3/1P2B3/PqP3PP/2R2RK1 w - - 0 29,-237
4r1k1/5pp1/p7/1p3R1p/3Pp3/1P2B3/PqP3PP/2R3K1 b - - 1 29,335
2r3k1/5pp1/p7/1p3R1p/3Pp3/1P2B3/PqP3PP/2R3K1 w - - 2 30,-333
2r3k1/5pp1/p7/1p5p/3Pp3/1P2B3/PqP2RPP/2R3K1 b - - 3 30,432
6k1/5pp1/p7/1p5p/3Pp3/1Pr1B3/PqP2RPP/2R3K1 w - - 4 31,-424
6k1/5pp1/p7/1p5p/3PpB2/1Pr5/PqP2RPP/2R3K1 b - - 5 31,455
6k1/5pp1/p7/1p5p/3P1B2/1Pr1p3/PqP2RPP/2R3K1 w - - 0 32,-457
6k1/5pp1/p7/1p5p/3P1B2/1Pr1p3/PqP3PP/2R2RK1 b - - 1 32,426
6k1/5pp1/p7/1p5p/3P1B2/1Pr5/PqP1p1PP/2R2RK1 w - - 0 33,-401
6k1/5pp1/p7/1p5p/3P1B2/1Pr5/PqP1p1PP/2R1R1K1 b - - 1 33,429
6k1/5pp1/p7/1p5p/3P1B2/1P6/Pqr1p1PP/2R1R1K1 w - - 0 34,-436
6k1/5pp1/p7/1p5p/3P1B2/1P6/PqR1p1PP/4R1K1 b - - 0 34,424
6k1/5pp1/p7/1p5p/3P1B2/1P6/P1q1p1PP/4R1K1 w - - 0 35,-422
6k1/5pp1/p7/1p5p/3P1B2/1P6/P1q1pKPP/4R3 b - - 1 35,416
6k1/5pp1/p7/1p5p/3P1B2/1P6/q3pKPP/4R3 w - - 0 36,-432
6k1/5pp1/p7/1p5p/3P1B2/1P6/q3RKPP/8 b - - 0 36,436
6k1/5pp1/p7/1p5p/3P1B2/1q6/4RKPP/8 w - - 0 37,-364
4R3/5ppk/p7/1p5p/3P1B2/1q6/5KPP/8 w - - 2 38,-461
4R3/5ppk/p7/1p5p/3P4/1q2B3/5KPP/8 b - - 3 38,556
4R3/5ppk/p7/1p5p/3P4/4B3/q5PP/5K2 b - - 5 39,560
4R3/5ppk/p7/1p5p/3P4/4B3/5KPP/q7 b - - 7 40,533
4R3/5ppk/p7/1p5p/3P4/4B3/5KPP/3q4 w - - 8 41,-526
8/4Rppk/p7/1p5p/3P4/4B3/5KPP/3q4 b - - 9 41,548
8/4Rppk/p7/1p5p/3P4/4B3/2q3PP/5K2 b - - 11 42,586
8/4Rppk/p7/7p/1p1P4/4B3/2q3PP/5K2 w - - 0 43,-569
8/4Rppk/p7/7p/1p1P4/4B3/2q3PP/6K1 b - - 1 43,597
8/4Rppk/p7/7p/1p1P4/4B3/5KPP/3q4 b - - 3 44,624
8/4R1pk/p7/5p1p/1p1P4/4B3/5KPP/3q4 w - - 0 45,-488
8/R5pk/p7/5p1p/1p1P4/4B3/5KPP/3q4 b - - 1 45,657
8/R5pk/p7/5p1p/3P4/1p2B3/5KPP/3q4 w - - 0 46,-623
8/6pk/R7/5p1p/3P4/1p2B3/5KPP/3q4 b - - 0 46,659
8/6pk/R7/5p1p/3P4/4B3/1p3KPP/3q4 w - - 0 47,-595
8/6pk/1R6/5p1p/3P4/4B3/1p3KPP/3q4 b - - 1 47,670
8/6pk/1R6/5p1p/3P4/4B3/1pq3PP/4K3 b - - 3 48,676
8/6pk/8/5p1p/3P4/4B3/2q3PP/1R2K3 b - - 0 49,652
8/6pk/8/5p1p/3P4/4B3/5KPP/1q6 b - - 1 50,632
8/6pk/8/5p1p/3P4/3qB3/5KPP/8 w - - 2 51,-575
8/6pk/8/5p1p/3P4/3qB1P1/5K1P/8 b - - 0 51,596
6k1/6p1/8/5p1p/3P4/3qB1P1/5K1P/8 w - - 1 52,-572
6k1/6p1/8/5p1p/3P3P/3qB1P1/5K2/8 b - - 0 52,575
8/6pk/8/5p1p/3P3P/3qB1P1/5K2/8 w - - 1 53,-561
8/6pk/8/5p1p/3P3P/3qBKP1/8/8 b - - 2 53,599
8/6pk/8/5p1p/3P3P/4BKP1/2q5/8 w - - 3 54,-540
8/6pk/8/5p1p/3P1B1P/5KP1/2q5/8 b - - 4 54,554
8/6pk/8/5p1p/3PqB1P/6P1/5K2/8 b - - 6 55,540
8/6pk/8/5p1p/3q1B1P/6P1/6K1/8 b - - 1 56,562
6k1/6p1/8/5p1p/3q1B1P/6P1/6K1/8 w - - 2 57,-585
6k1/6p1/8/5p1p/3q1B1P/6P1/8/7K b - - 3 57,576
6k1/6p1/8/5p1p/5B1P/6P1/6K1/q7 b - - 5 58,579
6k1/6p1/8/5p1p/5B1P/6P1/1q6/6K1 b - - 7 59,579
6k1/6p1/1q6/5p1p/5B1P/6P1/8/7K b - - 9 60,593
6k1/6p1/8/5p1p/3q1B1P/6P1/8/7K w - - 10 61,-568
6k1/6p1/8/5p1p/3q1B1P/6P1/6K1/8 b - - 11 61,566
6k1/6p1/8/2q2p1p/5B1P/6P1/6K1/8 w - - 12 62,-566
6k1/6p1/8/2q2p1p/5B1P/6P1/8/7K b - - 13 62,571
6k1/6p1/1q6/5p1p/5B1P/6P1/8/7K w - - 14 63,-563
6k1/6p1/1q6/5p1p/5B1P/6P1/6K1/8 b - - 15 63,555
6k1/6p1/8/5p1p/5B1P/6P1/6K1/1q6 w - - 16 64,-573
6k1/6p1/8/5p1p/5B1P/6P1/7K/1q6 b - - 17 64,610
6k1/6p1/8/5p1p/5B1P/1q4P1/7K/8 w - - 18 65,-609
6k1/6p1/8/5p1p/5B1P/1q4P1/8/6K1 b - - 19 65,638
6k1/6p1/8/5p1p/5B1P/q5P1/8/6K1 w - - 20 66,-635
6k1/6p1/8/5p1p/5B1P/q5P1/8/7K b - - 21 66,646
6k1/6p1/8/5p1p/5B1P/5qP1/8/6K1 b - - 23 67,645
6k1/6p1/8/5p1p/5B1P/2q3P1/8/6K1 w - - 24 68,-657
6k1/6p1/8/5p1p/5B1P/2q3P1/8/7K b - - 25 68,658
8/6pk/8/5p1p/5B1P/2q3P1/8/7K w - - 26 69,-625
8/6pk/8/5p1p/5B1P/2q3P1/8/6K1 b - - 27 69,639
8/6pk/8/5p1p/5B1P/6P1/6K1/4q3 b - - 29 70,643
8/6pk/8/5p1p/1q3B1P/6P1/6K1/8 w - - 30 71,-588
8/6pk/8/5p1p/1q3B1P/6P1/8/6K1 b - - 31 71,654
5q2/6pk/8/5p1p/5B1P/6P1/8/6K1 w - - 32 72,-616
5q2/6pk/8/5p1p/5B1P/6P1/6K1/8 b - - 33 72,652
8/6pk/8/2q2p1p/5B1P/6P1/6K1/8 w - - 34 73,-627
8/6pk/8/2q2p1p/5B1P/6P1/7K/8 b - - 35 73,657
8/6pk/8/5p1p/5B1P/6P1/5q2/7K b - - 37 74,663
6k1/6p1/8/5p1p/5B1P/6P1/5q2/7K w - - 38 75,-668
1B4k1/6p1/8/5p1p/7P/6P1/5q2/7K b - - 39 75,701
1B4k1/6p1/8/5p1p/7P/6P1/6K1/4q3 b - - 41 76,668
1B4k1/6p1/8/5p1p/4q2P/6P1/7K/8 b - - 43 77,693
1B4k1/6p1/8/5p1p/7P/6P1/2q5/6K1 b - - 45 78,697
1B4k1/6p1/8/5p1p/7P/6P1/6K1/1q6 b - - 47 79,728
1q4k1/6p1/8/5p1p/7P/6P1/6K1/8 w - - 0 80,-704
1q4k1/6p1/8/5p1p/7P/6P1/8/7K b - - 1 80,744
q5k1/6p1/8/5p1p/7P/6P1/8/6K1 b - - 3 81,767
q5k1/8/8/5ppp/7P/6P1/8/6K1 w - - 0 82,-636
q5k1/8/8/5pPp/8/6P1/8/6K1 b - - 0 82,651
3q2k1/8/8/5pPp/8/6P1/8/6K1 w - - 1 83,-653
3q2k1/8/6P1/5p1p/8/6P1/8/6K1 b - - 0 83,690
6k1/8/1q4P1/5p1p/8/6P1/8/7K b - - 2 84,674
6k1/8/6P1/5p1p/8/6P1/5q2/7K w - - 3 85,-688
6k1/6P1/8/5p1p/8/6P1/5q2/7K b - - 0 85,9994
8/6k1/8/5p1p/8/6P1/5q2/7K w - - 0 86,-9995
8/6k1/8/5p1p/6P1/8/5q2/7K b - - 0 86,9995
8/6k1/8/5p1p/6P1/8/7K/5q2 b - - 2 87,9996
8/6k1/8/5p2/6p1/8/7K/5q2 w - - 0 88,-9997
8/6k1/8/5p2/6p1/6K1/8/5q2 b - - 1 88,9997
8/6k1/8/5p2/6p1/5q2/7K/8 b - - 3 89,9996
8/6k1/8/5p2/8/5qp1/8/6K1 b - - 1 90,9998
8/6k1/8/5p2/8/6p1/5q2/7K b - - 3 91,9999
8/8/7k/5p2/8/6p1/5q2/7K w - - 4 92,0
rnbqkbnr/pp1ppppp/8/8/1p3P2/N7/P1PPP1PP/R1BQKBNR b KQkq - 0 3,453
rnbqkbnr/pp1ppppp/8/8/5P2/p7/P1PPP1PP/R1BQKBNR w KQkq - 0 4,-470
rnbqkbnr/pp1ppppp/8/8/5P2/B7/P1PPP1PP/R2QKBNR b KQkq - 0 4,451
rnbqkbnr/pp1ppp1p/6p1/8/5P2/B7/P1PPP1PP/R2QKBNR w KQkq - 0 5,-389
rnbqkbnr/pp1ppp1p/6p1/8/4PP2/B7/P1PP2PP/R2QKBNR b KQkq - 0 5,413
r1bqkbnr/pp1ppp1p/2n3p1/8/4PP2/B7/P1PP2PP/R2QKBNR w KQkq - 1 6,-388
r1bqkbnr/pp1ppp1p/2n3p1/8/4PP2/B7/P1PPN1PP/R2QKB1R b KQkq - 2 6,467
r1bqkbnr/pp2pp1p/2n3p1/3p4/4PP2/B7/P1PPN1PP/R2QKB1R w KQkq - 0 7,-449
r1bqkbnr/pp2pp1p/2n3p1/3pP3/5P2/B7/P1PPN1PP/R2QKB1R b KQkq - 0 7,549
r2qkbnr/pp2pp1p/2n3p1/3pPb2/5P2/B7/P1PPN1PP/R2QKB1R w KQkq - 1 8,-432
r2qkbnr/pp2pp1p/2n3p1/3pPb2/5P2/B1P5/P2PN1PP/R2QKB1R b KQkq - 0 8,478
r2qkbnr/pp3p1p/2n1p1p1/3pPb2/5P2/B1P5/P2PN1PP/R2QKB1R w KQkq - 0 9,-423
r2qkBnr/pp3p1p/2n1p1p1/3pPb2/5P2/2P5/P2PN1PP/R2QKB1R b KQkq - 0 9,520
r2q1knr/pp3p1p/2n1p1p1/3pPb2/5P2/2P5/P2PN1PP/R2QKB1R w KQ - 0 10,-494
r2q1knr/pp3p1p/2n1p1p1/3pPb2/5P2/1QP5/P2PN1PP/R3KB1R b KQ - 1 10,514
r4knr/ppq2p1p/2n1p1p1/3pPb2/5P2/1QP5/P2PN1PP/R3KB1R w KQ - 2 11,-499
r4knr/ppq2p1p/2n1p1p1/3pPb2/2P2P2/1Q6/P2PN1PP/R3KB1R b KQ - 0 11,525
r4k1r/ppq1np1p/2n1p1p1/3pPb2/2P2P2/1Q6/P2PN1PP/R3KB1R w KQ - 1 12,-530
r4k1r/ppq1np1p/2n1p1p1/3pPb2/2P2P2/2Q5/P2PN1PP/R3KB1R b KQ - 2 12,566
r4k1r/ppq1np1p/2n1p1p1/4Pb2/2p2P2/2Q5/P2PN1PP/R3KB1R w KQ - 0 13,-508
r4k1r/ppq1np1p/2n1p1p1/4Pb2/2Q2P2/8/P2PN1PP/R3KB1R b KQ - 0 13,557
r4k1r/ppq2p1p/2n1p1p1/3nPb2/2Q2P2/8/P2PN1PP/R3KB1R w KQ - 1 14,-525
r4k1r/ppq2p1p/2n1p1p1/3nPb2/2Q2P2/6N1/P2P2PP/R3KB1R b KQ - 2 14,516
r5kr/ppq2p1p/2n1p1p1/3nPb2/2Q2P2/6N1/P2P2PP/R3KB1R w KQ - 3 15,-432
r5kr/ppq2p1p/2n1p1p1/3nPN2/2Q2P2/8/P2P2PP/R3KB1R b KQ - 0 15,426
r5kr/ppq2p1p/2n1p3/3nPp2/2Q2P2/8/P2P2PP/R3KB1R w KQ - 0 16,-442
r5kr/ppq2p1p/2n1p3/3QPp2/5P2/8/P2P2PP/R3KB1R b KQ - 0 16,586
r5kr/ppq2p1p/2n5/3pPp2/5P2/8/P2P2PP/R3KB1R w KQ - 0 17,-641
r5kr/ppq2p1p/2n5/3pPp2/P4P2/8/3P2PP/R3KB1R b KQ - 0 17,710
r5kr/ppq2p1p/8/3pnp2/P4P2/8/3P2PP/R3KB1R w KQ - 0 18,-739
r5kr/ppq2p1p/8/1B1pnp2/P4P2/8/3P2PP/R3K2R b KQ - 1 18,736
r5kr/ppq2p1p/6n1/1B1p1p2/P4P2/8/3P2PP/R3K2R w KQ - 2 19,-635
r5kr/ppq2p1p/6n1/1B1p1p2/P4P2/6P1/3P3P/R3K2R b KQ - 0 19,689
r5kr/pp3p1p/6n1/1B1p1p2/P4P2/6P1/2qP3P/R3K2R w KQ - 1 20,-618
r5kr/pp3p1p/6n1/1B1p1p2/P4P2/6P1/2qP3P/R3KR2 b Q - 2 20,734
r5kr/pp3p1p/6n1/1B1p1p2/P3qP2/6P1/3P1K1P/R4R2 b - - 4 21,665
r4k1r/pp3p1p/6n1/1B1p1p2/P3qP2/6P1/3P1K1P/R4R2 w - - 5 22,-668
r4k1r/pp3p1p/6n1/1B1p1p2/P3qP2/6P1/3P1K1P/R2R4 b - - 6 22,799
r4k1r/1p3p1p/p5n1/1B1p1p2/P3qP2/6P1/3P1K1P/R2R4 w - - 0 23,-718
r4k1r/1p3p1p/p5n1/3p1p2/P3qP2/6P1/3PBK1P/R2R4 b - - 1 23,841
4rk1r/1p3p1p/p5n1/3p1p2/P3qP2/6P1/3PBK1P/R2R4 w - - 2 24,-739
4rk1r/1p3p1p/p5n1/3p1p2/P3qP2/5BP1/3P1K1P/R2R4 b - - 3 24,667
4rk1r/1p3p1p/p5n1/3p1p2/P4P2/3q1BP1/3P1K1P/R2R4 w - - 4 25,-644
4rk1r/1p3p1p/p5n1/3p1p2/P4P2/3q1BP1/3P1K1P/1R1R4 b - - 5 25,740
5k1r/1p2rp1p/p5n1/3p1p2/P4P2/3q1BP1/3P1K1P/1R1R4 w - - 6 26,-622
5k1r/1p2rp1p/p5n1/P2p1p2/5P2/3q1BP1/3P1K1P/1R1R4 b - - 0 26,656
5kr1/1p2rp1p/p5n1/P2p1p2/5P2/3q1BP1/3P1K1P/1R1R4 w - - 1 27,-635
5kr1/1p2rp1p/p5n1/P2p1p2/5P2/3q1BP1/3P1K1P/2RR4 b - - 2 27,683
