fen,cp
6kr/6p1/p1r4p/p3b3/1P2P3/3P4/2P3KP/1RB5 w - - 1 31,-505
6kr/6p1/p1r4p/p3b3/1PP1P3/3P4/6KP/1RB5 b - - 0 31,485
6kr/6p1/p2r3p/p3b3/1PP1P3/3P4/6KP/1RB5 w - - 1 32,-465
6kr/6p1/p2r3p/P3b3/2P1P3/3P4/6KP/1RB5 b - - 0 32,481
6kr/6p1/p6p/P3b3/2P1P3/3r4/6KP/1RB5 w - - 0 33,-509
6kr/6p1/p6p/P1P1b3/4P3/3r4/6KP/1RB5 b - - 0 33,522
6kr/6p1/p6p/P1P1b3/4P3/2r5/6KP/1RB5 w - - 1 34,-535
6kr/6p1/p6p/P1P1b3/4P3/2r5/7P/1RB4K b - - 2 34,569
6kr/6p1/p6p/P1P1b3/2r1P3/8/7P/1RB4K w - - 3 35,-446
6kr/6p1/p6p/P1P1b3/2r1P3/8/3B3P/1R5K b - - 4 35,531
6kr/6p1/p6p/P1P1b3/4r3/8/3B3P/1R5K w - - 0 36,-464
6kr/6p1/p6p/P1P1b3/4r3/8/3B3P/4R2K b - - 1 36,649
6kr/6p1/p6p/P1P1b3/8/8/7P/4B2K b - - 0 37,614
7r/5kp1/p6p/P1P1b3/8/8/7P/4B2K w - - 1 38,-623
7r/5kp1/p6p/P1P1b3/8/8/7P/4B1K1 b - - 2 38,632
7r/5kp1/p6p/P1P5/3b4/8/5B1P/6K1 b - - 4 39,613
7r/5kp1/p6p/P1P5/8/8/5K1P/8 b - - 0 40,657
2r5/5kp1/p6p/P1P5/8/8/5K1P/8 w - - 1 41,-690
2r5/5kp1/p1P4p/P7/8/8/5K1P/8 b - - 0 41,712
8/5kp1/p1r4p/P7/8/8/5K1P/8 w - - 0 42,-704
8/5kp1/p1r4p/P7/8/7P/5K2/8 b - - 0 42,709
8/5kp1/p6p/P1r5/8/7P/5K2/8 w - - 1 43,-705
8/5kp1/p6p/P1r5/8/7P/8/5K2 b - - 2 43,712
8/6p1/p3k2p/P1r5/8/7P/8/5K2 w - - 3 44,-695
8/6p1/p3k2p/P1r5/8/7P/4K3/8 b - - 4 44,701
8/6p1/p3k2p/P6r/8/7P/4K3/8 w - - 5 45,-695
8/6p1/p3k2p/P6r/8/7P/8/3K4 b - - 6 45,697
8/6p1/p3k2p/P7/8/7r/8/3K4 w - - 0 46,-719
8/6p1/p3k2p/P7/8/7r/8/2K5 b - - 1 46,728
8/5kp1/p6p/P7/8/7r/8/2K5 w - - 2 47,-754
8/5kp1/p6p/P7/8/7r/8/1K6 b - - 3 47,762
6k1/6p1/p6p/P7/8/7r/8/1K6 w - - 4 48,-717
6k1/6p1/p6p/P7/8/7r/8/K7 b - - 5 48,767
6k1/6p1/p6p/P7/8/r7/8/1K6 b - - 7 49,731
6k1/6p1/p6p/r7/8/8/8/1K6 w - - 0 50,-660
6k1/6p1/p6p/r7/8/8/1K6/8 b - - 1 50,685
6k1/6p1/p6p/3r4/8/8/1K6/8 w - - 2 51,-676
6k1/6p1/p6p/3r4/8/8/8/K7 b - - 3 51,706
6k1/6p1/7p/p2r4/8/8/8/K7 w - - 0 52,-661
6k1/6p1/7p/p2r4/8/8/8/1K6 b - - 1 52,731
6k1/6p1/7p/3r4/p7/8/8/1K6 w - - 0 53,-643
6k1/6p1/7p/3r4/p7/8/K7/8 b - - 1 53,694
6k1/6p1/7p/1r6/p7/8/K7/8 w - - 2 54,-748
6k1/6p1/7p/1r6/p7/8/8/K7 b - - 3 54,804
6k1/6p1/7p/1r6/8/p7/8/K7 w - - 0 55,-794
6k1/6p1/7p/1r6/8/p7/K7/8 b - - 1 55,878
6k1/6p1/7p/r7/8/p7/K7/8 w - - 2 56,-796
6k1/6p1/7p/r7/8/p7/8/1K6 b - - 3 56,797
6k1/6p1/7p/3r4/8/p7/8/1K6 w - - 4 57,-801
6k1/6p1/7p/3r4/8/p7/K7/8 b - - 5 57,790
6k1/6p1/7p/8/8/p2r4/K7/8 w - - 6 58,-781
6k1/6p1/7p/8/8/p2r4/8/1K6 b - - 7 58,784
6k1/6p1/7p/8/8/p7/3r4/1K6 w - - 8 59,-889
6k1/6p1/7p/8/8/p7/3r4/K7 b - - 9 59,999
6k1/6p1/3r3p/8/8/p7/8/K7 w - - 10 60,-865
6k1/6p1/3r3p/8/8/p7/8/1K6 b - - 11 60,944
6k1/6p1/r6p/8/8/p7/8/1K6 w - - 12 61,-843
6k1/6p1/r6p/8/8/p7/K7/8 b - - 13 61,934
6k1/6p1/2r4p/8/8/p7/K7/8 w - - 14 62,-716
6k1/6p1/2r4p/8/8/K7/8/8 b - - 0 62,1014
6k1/6p1/7p/8/8/K7/2r5/8 w - - 1 63,-982
6k1/6p1/7p/8/1K6/8/2r5/8 b - - 2 63,1043
6k1/6p1/8/7p/1K6/8/2r5/8 w - - 0 64,-1057
6k1/6p1/8/7p/8/K7/2r5/8 b - - 1 64,936
6k1/6p1/8/8/7p/K7/2r5/8 w - - 0 65,-1056
6k1/6p1/8/8/7p/1K6/2r5/8 b - - 1 65,9987
6k1/6p1/8/8/8/1K5p/2r5/8 w - - 0 66,-707
6k1/6p1/8/8/8/7p/2K5/8 b - - 0 66,742
