fen,cp
1n1bR3/r5N1/p1pr4/1P1p4/3k1p1p/2R5/5KP1/1b2BB2 w - - 5 54,266
1n1bR3/r5N1/p1pr4/1PRp4/3k1p1p/8/5KP1/1b2BB2 b - - 6 54,412
1n2R3/r5N1/pbpr4/1P1p4/3k1pP1/2R4p/5K2/1b2BB2 b - g3 0 56,224
1n2R3/6r1/pbpr4/1P1p4/3k1pP1/2R4p/5K2/1b2BB2 w - - 0 57,-149
1n2R3/6r1/pbpr4/1P6/2pk1pP1/7p/5K2/1b2BB2 w - - 0 58,-510
1n1R4/6r1/pbpr4/1P6/2pk1pP1/7p/5K2/1b2BB2 b - - 1 58,9998
1n1b4/6r1/p1Pr4/8/2pk1pP1/8/5K1p/1b2BB2 w - - 0 60,-859
1n1b4/6r1/p1Pr4/8/2pk1pP1/2B5/5K1p/1b3B2 b - - 1 60,1243
rnbqkb1r/1ppppp1p/6pn/p5B1/8/3P4/PPPNPPPP/R2QKBNR w KQkq - 0 4,34
rnbqkb1r/1ppppp1p/6pn/p5B1/8/3PP3/PPPN1PPP/R2QKBNR b KQkq - 0 4,41
rnbqkb1r/1p1pp2p/5ppn/p1p3B1/4N3/3PP3/PPP1QPPP/R3KBNR b KQkq - 1 6,377
rnbq1b1r/1p1ppk1p/5ppn/p1p3B1/4N3/3PP3/PPP1QPPP/R3KBNR w KQ - 2 7,57
rnbq1b1r/3ppk1p/1p3ppn/p1p3B1/2P1N3/3PPP2/PP2Q1PP/R3KBNR b KQ - 0 8,300
r1bq1b1r/3ppk1p/1pn2pp1/p1p2nB1/2PP4/4PP2/PP1NQ1PP/R3KBNR b KQ - 0 10,347
r1bq1b1r/4pk1p/1pnp1pp1/p1p2nB1/2PP4/P3PP2/1P1NQ1PP/R3KBNR b KQ - 0 11,380
r1bq1b1r/4pk1p/1pn2pp1/p1pp1nB1/2PP4/P3PP2/1P1NQ1PP/R3KBNR w KQ - 0 12,-158
r1bq1b1r/4pk2/1pn2ppp/p1pp2B1/2Pn4/PN2PP2/1P2QKPP/R4BNR w - - 0 14,-289
r1bq1b1r/4pk2/1pn2ppp/p1pp2B1/2PnP3/PN3P2/1P2QKPP/R4BNR b - - 0 14,724
r2q1b1r/4pk2/1pn1bppp/p1pp2B1/2PnP3/PN3P2/1P2QKPP/R4BNR w - - 1 15,-500
r2q1b1r/4pk2/1pn1Qppp/p1p3B1/4P3/PN3P2/1Pn2KPP/1R3BNR b - - 0 17,453
r2q1b1r/4p1k1/1pn1Qppp/p1p3B1/4P3/PN3P2/1Pn2KPP/1R3BNR w - - 1 18,247
r4b1r/4p1k1/1pn1Qppp/p1p3B1/1n2P3/PN3PK1/1P4PP/R2q1BNR w - - 5 20,646
r4b1r/4p1k1/1pn1Qppp/p1p5/1n2P3/PN2BPK1/1P4PP/R2q1BNR b - - 6 20,-431
5b1r/r3p1k1/1pn1Qppp/p1p5/1n2P3/PN2BPK1/1P4PP/R2q1BNR w - - 7 21,701
5b1r/r3p1k1/1pn1Qppp/p1p5/1n2PB2/PN3PK1/1P4PP/R2q1BNR b - - 8 21,-426
5b1r/r3p1k1/1pn1Qppp/p1p5/1n2PB2/PN3PK1/1P4PP/q4BNR w - - 0 22,486
5b1r/2r1p1k1/npn1Qppp/p1p5/4PB1K/P4P2/1P4PP/N4BNR w - - 1 24,635
5b1r/2r1p1k1/npn1Qppp/p1p5/4P2K/P4P2/1P1B2PP/N4BNR b - - 2 24,-517
5br1/2r1p1k1/npn1Qppp/p1p5/4P2K/P4P2/1P1B2PP/N4BNR w - - 3 25,565
5br1/1r2p1k1/npn1Qppp/p1p5/2B1P2K/P4P2/1P1B2PP/N5NR w - - 5 26,9999
5br1/1r2p1k1/npn2ppp/2p1Q3/p1B1P2K/P4P2/1P1B2PP/N5NR w - - 0 27,9992
5br1/1r2p1k1/npn2ppp/2p1Q3/p3P2K/P4P2/1P1BB1PP/N5NR b - - 1 27,47
5br1/nr2p1k1/np1Q1ppp/2p5/p3P2K/P4P2/1P1BB1PP/N5NR b - - 3 28,-182
5br1/1r2p1k1/npQ3p1/1np2p1p/p3P1PK/P4P2/1P1BB2P/N5NR w - - 0 31,641
5br1/1r2p1k1/npQ3p1/1np2P1p/p5PK/P4P2/1P1BB2P/N5NR b - - 0 31,-599
1r3br1/4p1k1/npQ3p1/1np2P1p/p5PK/P3BP2/1P2B2P/N5NR b - - 2 32,-575
1r3br1/4p1k1/npQ3p1/2p2P1p/p2n2PK/P3BP2/1P2B2P/N5NR w - - 3 33,865
1r3brk/4p3/np4Q1/2p2P1p/p2n2PK/P3BP2/1P2B2P/N5NR w - - 1 34,827
1r3brk/8/nQ6/2p1pP1p/p2B2PK/P4P2/1P2B2P/N5NR b - - 0 35,-399
2r2brk/8/nQ6/2p1pP1p/pP1B2PK/P4P2/4B2P/N5NR b - b3 0 36,-664
2r2brk/8/nQ6/2p2P1p/pP1p2PK/P4P2/4B2P/N5NR w - - 0 37,643
2rQ2rk/4b3/n7/2p2P1p/pP1p2PK/P4P2/4B2P/N5NR w - - 2 38,713
2rQ2rk/4b3/n7/2p2P1p/pP1p2P1/P4P1K/4B2P/N5NR b - - 3 38,269
2rQ1r1k/4b3/n7/2p2P1p/pP1p2P1/P4P1K/4B2P/N5NR w - - 4 39,707
2r2Q1k/4b3/n7/2p2P1p/pP1p2P1/P4P1K/4B2P/N5NR b - - 0 39,-516
5b1k/8/n7/1B3P1p/pp1p1PP1/P1r4K/7P/N5NR w - - 1 42,121
5b1k/8/n7/2r2P1p/pp1p1PP1/P2B3K/7P/N5NR w - - 3 43,382
5b1k/8/n7/2r2P1p/pp1p1PP1/P2B3K/2N4P/6NR b - - 4 43,89
5b1k/8/n1r5/5P1p/pp1p1PP1/P2B3K/2N4P/6NR w - - 5 44,347
5b1k/2r5/n7/5P1p/pp1pBPP1/P6K/2N4P/6NR w - - 7 45,294
5b1k/2r5/n7/5P1p/pp1p1PP1/P4B1K/2N4P/6NR b - - 8 45,180
5b1k/8/n7/2r2P1p/pp1p1PP1/P4B1K/2N4P/6NR w - - 9 46,269
7k/8/n2b4/2r2P1p/pp1N1PP1/P4B1K/7P/6NR w - - 1 47,367
2r4k/1B6/n2b1P2/7p/pp1N1PP1/P6K/7P/6NR b - - 0 48,-341
1nr4k/1B6/3b1P2/7p/pp1N1PP1/P6K/7P/6NR w - - 1 49,671
1nr4k/1B6/3b1P2/7p/pp3PP1/PN5K/7P/6NR b - - 2 49,-103
1nr4k/1B6/5P2/4b2p/pp3PP1/PN5K/7P/6NR w - - 3 50,526
2B4k/3n4/5P2/4b2p/1p3PP1/Pp4K1/7P/6NR b - - 3 52,-162
2B4k/8/1n3P2/4b2p/1p3PP1/Pp4K1/7P/6NR w - - 4 53,502
2n4k/8/5P2/6Pp/1p1b1P2/Pp4KN/7P/7R w - - 0 55,399
2n4k/8/5P2/6Pp/1p3P2/Pp6/5bKP/6NR b - - 3 56,-65
2n4k/8/5P2/6Pp/1p3P2/Pp6/6KP/6bR w - - 0 57,351
2n4k/8/5P2/6P1/1p3P1p/Pp6/6KP/6R1 w - - 0 58,626
2n4k/8/5P2/6P1/1p3P1p/P7/1p4KP/5R2 w - - 0 59,542
2n4k/8/5P2/6P1/Pp3P1p/8/1p4KP/5R2 b - - 0 59,-458
2n4k/8/5P2/6P1/Pp3P2/7p/1p4KP/5R2 w - - 0 60,509
2n4k/8/5P2/6P1/Pp3P2/6Kp/1p5P/5R2 b - - 1 60,-511
r1bqkbnr/pppp1p1p/2n1p3/8/P5p1/3PBN2/1PPQPPPP/RN2KB1R b KQkq - 1 5,377
r1b1kbnr/ppppqp1p/4p3/n7/P5p1/3PBN2/1PPQPPP1/RN2KBR1 w Qkq - 2 8,107
r1bqkbnr/p1p2p1p/2n1p3/1pBp4/P2P2p1/2P5/1P1QPPPN/RN2KBR1 w Qkq - 0 12,130
r1bqkbnr/p1p2p1p/2n1p3/1p1p4/PB1P2p1/2P5/1P1QPPPN/RN2KBR1 b Qkq - 1 12,292
r1b1kbnr/p1p2p1p/4p3/1p1pn3/PB1P2pq/2P2N2/1P1QPPP1/RN2KBR1 w Qkq - 4 14,616
r1b1kbnr/p1p2p1p/4p3/1p1pn3/PB1P1Qpq/2P2N2/1P2PPP1/RN2KBR1 b Qkq - 5 14,-91
r1b1kbnr/p1p2p1p/4p3/3pn3/pB1P1Qpq/2P2N2/1P2PPP1/RN2KBR1 w Qkq - 0 15,588
r1b1kbnr/p1p2p1p/4p3/3pn3/pB1PPQpq/2P2N2/1P3PP1/RN2KBR1 b Qkq - 0 15,-15
r1b1k1nr/p1p2p1p/4p2b/3pn3/pB1PPQpq/2P2N2/1P3PP1/RN2KBR1 w Qkq - 1 16,247
r1b1k1nr/p1p2p1p/4p2b/3pn3/pB1PPQpq/2P2N2/1P2BPP1/RN2K1R1 b Qkq - 2 16,603
r1b1k1nr/2p2p1p/4p2b/p2pn3/pB1PPQpN/2P5/1P2BPP1/RN2K1R1 b Qkq - 0 17,96
r1b1k1nr/2p4p/4p2b/p3np2/RB1Pp1pN/2P2Q2/1P2BPP1/1N2K1R1 b kq - 0 19,61
r1b1k2r/2p4p/2n1pn2/p3Np2/RB1Pp1p1/1PP1bQ2/4BPP1/1N2K1R1 b kq - 0 22,-53
r1b4r/2p1k2p/2n1pn2/p3Np2/R2Pp1p1/1PP1PQ2/4B1P1/1N2K1R1 b - - 0 24,-179
r1b4r/2p1k2p/4pn2/p3np2/R2Pp1p1/1PP1PQ2/4B1P1/1N2K1R1 w - - 0 25,369
r1b4r/2p1k2p/4pn2/p3np2/R2Pp1p1/1PP1PQ2/4B1P1/1N3KR1 b - - 1 25,497
1rb4r/2p1k2p/4pn2/p3np2/R2Pp1p1/1PP1PQ2/4B1P1/1N2K1R1 b - - 3 26,449
1rb4r/2p1k2p/4p3/p3np1n/R2Pp1p1/1PP1PQ2/4B1P1/1N2K1R1 w - - 4 27,285
1r5r/2p1k2p/b3p3/p3np1n/R1BPp1p1/1PP1PQ2/6P1/1N2K1R1 w - - 6 28,145
4r2r/2p1k2p/b3p3/R3np1n/3P2p1/1PP1Pp2/6P1/1N2KBR1 w - - 1 30,-149
4r2r/2p1k2p/b3p3/2R1np1n/3P2p1/1PP1Pp2/6P1/1N2KBR1 b - - 2 30,413
4r2r/2p1k2p/b3p3/2R1n2n/3P1pp1/1PP1Pp2/6P1/1N2KBR1 w - - 0 31,-215
4r2r/2p1k2p/b3p3/2R1n2n/3P1pp1/1PP1Pp2/3K2P1/1N3BR1 b - - 1 31,524
4r2r/4k2p/b1p1p3/2R1n2n/3P1pp1/1PP1Pp2/3K2P1/1N3BR1 w - - 0 32,-281
4r2r/4k2p/b1p1p3/2R1n2n/3P1pp1/1PP1Pp2/3KB1P1/1N4R1 b - - 1 32,503
