fen,cp
r3k1n1/2qn1p2/4p3/1P1p4/P1pP2p1/P5R1/3P1PPN/1RbKQB2 w - - 1 27,420
r3k1n1/2qn1p2/4p3/1P1p4/P1pP2p1/P4R2/3P1PPN/1RbKQB2 b - - 2 27,284
4k3/2qn1p2/P3p2n/3p4/P1pP2N1/P4RP1/3P1P2/1RbKQB2 b - - 0 30,-617
4k3/2qn1p2/P2bp2n/3pN3/P1pP4/5RP1/3P1P2/1R1KQB2 w - - 2 32,567
4k3/2qn1p2/P2bp2n/3pN3/P1pP4/3R2P1/3P1P2/1R1KQB2 b - - 3 32,-394
4k3/2qn4/P2bpp1n/3pN3/P1pP4/3R2P1/3P1P2/1R1KQB2 w - - 0 33,623
4k3/2qn4/P3pp1n/3pN3/PbpP4/3R2P1/3P1P2/2RKQB2 w - - 2 34,564
4k3/3n4/P1q1pp1n/3pN3/PbpP4/R5P1/3P1P2/2RKQB2 w - - 4 35,915
4k3/3n4/P3pp1n/1q1pN3/PbpP4/3R2P1/3PQP2/2RK1B2 b - - 7 36,-303
4k3/3n4/P3pp1n/1qbpN3/P1pP4/2R3P1/3PQP2/2RK1B2 b - - 9 37,-485
4k3/3n4/P3pp2/1qbpNn2/P1pP4/2R3P1/3PQP2/2RK1B2 w - - 10 38,868
4k3/3n4/P3pp2/1qbpNn2/P1pP4/2R3P1/3PQP2/2R1KB2 b - - 11 38,-479
4k3/3n4/P3pp2/q1bpNn2/P1pP4/2R3P1/3PQP2/2R1KB2 w - - 12 39,871
4k3/3n4/P3pp2/2bpN3/P1pP4/4n1P1/3RQP2/2R1KB2 w - - 1 41,960
4k3/3n4/P3pp2/3pN3/PbpP2P1/4n3/3RQP2/2R1KB2 w - - 1 42,869
4k3/3n4/P3pp2/3pN3/P1pPQ1P1/b3n3/3R1P2/2R1KB2 b - - 4 43,-654
4k3/8/P3pp2/2npN3/P1pPQPP1/b3n3/3R4/2R1KB2 b - - 0 44,-651
4k3/8/P3pp2/2npN3/P1pPQPP1/b7/3R4/2RnKB2 w - - 1 45,940
4k3/8/P3pp2/2npN3/P1pPQPP1/b7/3R4/R2nKB2 b - - 2 45,-687
5k2/8/P3pp2/4N3/P1pPpPP1/Rn6/5n2/2R1KB2 w - - 5 49,793
5k2/8/P3pp2/8/P1pPpPP1/Rn1N3n/8/2R1KB2 w - - 7 50,758
5k2/8/P3pp2/8/PNpnpPP1/R6n/8/2R1KB2 w - - 0 51,858
5k2/8/P1n1p3/5p2/PNp1pPP1/2R4R/3K4/5B2 b - - 1 53,-901
8/5k2/P1n1p3/8/PNp1pPp1/2R3R1/3K4/5B2 w - - 0 55,965
8/n4k2/P3p3/8/P1p1pPp1/2R4R/N2K4/5B2 b - - 3 56,-791
8/5k2/P1n1p3/P7/2p1pPp1/2R4R/N2K4/5B2 b - - 0 57,-676
8/6k1/P1n1p3/P7/2p1pPp1/2R4R/N2K4/5B2 w - - 1 58,815
8/6k1/P1n1p3/P7/2p1pPp1/2R4R/N7/2K2B2 b - - 2 58,-754
3n4/6k1/P3p3/P7/2p1pPp1/2R4R/N7/2K2B2 w - - 3 59,857
3n2k1/8/P3p3/P6R/2p1pPp1/4R3/N7/2K2B2 b - - 6 60,-858
rnbqkbnr/pp1p2pp/4p3/1Bp2p2/8/N3P3/PPPP1PPP/R1BQK1NR w KQkq - 0 4,-9
rnbqk1nr/pp1pb1pp/4p3/2p2p2/8/N2BP3/PPPP1PPP/R1BQK1NR w KQkq - 2 5,-43
rnbqk1nr/pp1p2pp/4p3/2p2pb1/2N5/3BP3/PPPP1PPP/R1BQK1NR w KQkq - 4 6,120
rnbq2nr/pp1p1kpp/4p3/2p2pb1/2N5/P2BP3/1PPP1PPP/R1BQK1NR w KQ - 1 7,112
rnbq2nr/pp1p1kpp/4p3/2p2pb1/2N5/P2BPQ2/1PPP1PPP/R1B1K1NR b KQ - 2 7,-44
rnbq2nr/p2pbkpp/1N2p3/1pp2p2/8/P2BP1Q1/1PPP1PPP/R1B1K1NR b KQ - 3 9,429
rn1q2nr/p2pbkpp/bN2p3/1pp2p2/8/P2BP1Q1/1PPP1PPP/R1B1K1NR w KQ - 4 10,229
rn1q2nr/p1Qpbkpp/bN2p3/1pp2p2/8/P2BP3/1PPP1PPP/R1B1K1NR b KQ - 5 10,657
Nn2qknr/p1Qpb1pp/b3p3/1pp2p2/8/P2BP3/1PPP1PPP/R1B1K1NR w KQ - 1 12,429
Nn3k1r/p1Qpb1pp/b3p1qn/1pp2p2/8/P3P3/1PPPBPPP/R1B1K1NR w KQ - 5 14,536
Nn3k1r/pb1pb1pp/1Q2p1qn/1pp2p2/8/P3P3/1PPPBPPP/R1B1K1NR w KQ - 7 15,519
Nn3k1r/1b1pb1pp/pQ2p1qn/1pp2p2/1P6/P3P1P1/2PPBP1P/R1B1K1NR b KQ - 0 16,-332
b4k1r/2Qpb1pp/p1n1p1qn/1pp2p2/1P6/P3P1P1/2PPBP1P/R1B1K1NR w KQ - 0 18,237
bQ1b2kr/3p2pp/p1n1p1qn/1pp2p2/1P3P2/P1P1P1P1/3PB2P/R1B1K1NR b KQ - 0 20,588
bQ1b2kr/3p2pp/p3p1qn/1pp2p2/1n3P2/P1P1P1P1/3PB2P/R1B1K1NR w KQ - 0 21,610
bQ1b2kr/3p2pp/p3p1qn/1pp2p2/1n3P1P/P1P1P1P1/3PB3/R1B1K1NR b KQ - 0 21,-109
bQ1b2kr/3p2pp/p3p2n/1pp2pq1/1n3P1P/P1P1P1P1/3PB3/R1B1K1NR w KQ - 1 22,696
bQ1b2kr/3p2pp/p3p2n/1pp2pq1/1n2PP1P/P1P3P1/3PB3/R1B1K1NR b KQ - 0 22,18
bQ1b2kr/3p2pp/p1n1p2n/1pp2pq1/4PP1P/P1P3P1/3PB3/R1B1K1NR w KQ - 1 23,442
bQ1b2kr/6pp/p1n1p2n/1ppp1Pq1/5P1P/P1P3P1/3PB3/R1B1K1NR w KQ - 0 24,495
bQ1b2kr/6pp/p1n4n/1ppppPq1/5P1P/P1P3P1/3PB3/R1B2KNR w - - 0 25,512
bQ1b2kr/6pp/p1n4n/1ppppPq1/5P1P/P1P3P1/3PBK2/R1B3NR b - - 1 25,-114
3b2kr/4n1pp/Q1b2q1n/2pp1P2/3PpP1P/P1P3P1/4B3/R1B2KNR b - d3 0 29,136
3b2kr/4n1pp/Q1b1q2n/2pp1P2/3PpP1P/P1P3P1/4B3/R1B2KNR w - - 1 30,632
2qb2kr/4n1pp/2b4n/2pp1P2/Q2PpP1P/P1P3P1/4B3/R1B2KNR w - - 3 31,108
q2b2kr/4n1pp/2b4n/2pp1P2/3PpP1P/P1P3P1/4B3/R1BQ1KNR w - - 5 32,196
q2b1k1r/4n1pp/2b4n/2pp1P1P/3PpP2/P1P3P1/4B3/R1BQ1KNR w - - 1 33,265
q2b1k1r/4n1pp/2b4n/2pp1P1P/3PpP2/P1P3P1/1B2B3/R2Q1KNR b - - 2 33,113
3b1k1r/q3n1pp/2b4n/2pp1P1P/3PpP2/P1P3P1/1B2B3/2RQ1KNR b - - 4 34,172
3b1k1r/q3n2p/2b4n/2pp1PpP/3PpP2/P1P3P1/1B2B3/2RQ1KNR w - g6 0 35,-14
3b1k1r/q3n2p/2b4n/1Bpp1PpP/3PpP2/P1P3P1/1B6/2RQ1KNR b - - 1 35,389
3b1k1r/q6p/2b4n/1Bpp1npP/3PpP2/P1P3P1/1B6/2RQ1KNR w - - 0 36,-368
b2b1k1r/q6p/7n/2pp1npP/B2PpP2/P1P3P1/1BR5/3Q1KNR b - - 3 37,579
b2b1k1r/q6p/7n/2pp2pP/B2PpP2/P1P1n1P1/1BR5/3Q1KNR w - - 4 38,-596
bq1b1k1r/7p/7n/2pp2pP/B2PpP2/P1P1n1P1/1BR2K2/1Q4NR b - - 7 39,374
bq1b1k1r/7p/7n/2pp2pP/B2PpP2/P1P3P1/1BR2K2/1Q1n2NR w - - 8 40,143
b2b1k1r/7p/1q5n/2pp2pP/B2PpP2/P1P1n1P1/1BR4K/2Q3NR w - - 14 43,-126
b2b1k1r/7p/1q5n/2pp1PpP/B2Pp3/P1P1n1P1/1BR4K/2Q3NR b - - 0 43,691
b2b3r/6kp/1q5n/2pp1PpP/B2Pp3/P1P1n1P1/1BR4K/1Q4NR b - - 2 44,9994
b2b3r/q5kp/7n/2pp1PpP/B2Pp3/P1P1n1P1/1BR4K/1Q4NR w - - 3 45,-330
b2b3r/q5kp/7n/2pp1PpP/B2Pp3/P1P1n1P1/1BR4K/2Q3NR b - - 4 45,727
b2b3r/6kp/q6n/2pp1PpP/B2Pp3/P1P1n1P1/1BR4K/5QNR b - - 6 46,9997
b6r/6kp/q6n/b1pp1PpP/B1QPp3/P1P1n1P1/1BR4K/6NR b - - 8 47,716
b2b3r/7p/q1B2k1n/2pp1PpP/3Pp3/P1P1n1P1/Q1R4K/2B3NR b - - 14 50,461
b6r/2b4p/q1B2k1n/2pp1PpP/3Pp3/P1P1n1P1/Q1R4K/2B3NR w - - 15 51,-288
b6r/2b4p/q1B2k1n/2pp1PpP/3Pp3/P1P1n1PK/Q1R5/2B3NR b - - 16 51,544
b6r/7p/q1Bb1k1n/2pp1PpP/3Pp3/P1P1n1PK/Q1R5/2B3NR w - - 17 52,-43
b6r/7p/q1Bb1k1n/2pp1PpP/3PpB2/P1P3PK/Q1R4R/3n2N1 b - - 20 53,360
7r/7p/q1bb1k1n/2pp1PpP/3PpB2/P1P3PK/Q1RR4/3n2N1 b - - 1 54,590
q6r/7p/2bb1k1n/2pp1PpP/3PpB2/P1P3PK/Q1RR4/3n2N1 w - - 2 55,38
q6r/7p/2bb1k1n/2pp1PpP/3PpB2/P1P3PK/2RR4/1Q1n2N1 b - - 3 55,449
1q5r/7p/2bb1k1n/2pp1PpP/3PpB2/P1P3PK/2RR4/1Q1n2N1 w - - 4 56,-213
1q5r/7p/2bb1k1n/2pp1PpP/3PpB2/P1P3PK/3R4/1QRn2N1 b - - 5 56,462
7r/7p/2bb1k1n/1qpp1PpP/3PpB2/P1P3PK/3R4/1QRn2N1 w - - 6 57,-33
7r/7p/2bb1k1n/1qpp1PpP/3PpB2/P1P3PK/2RR4/1Q1n2N1 b - - 7 57,640
7r/7p/2bb1k1n/2pp1PpP/3PpB2/P1P3PK/2RR4/1Q1n1qN1 w - - 8 58,-540
7r/7p/3b1k1n/1bpp1PpP/2PPpB2/P5PK/2R3R1/1Q1n1qN1 b - - 0 59,505
7r/7p/3b1k1n/1bpp1PpP/2PPpB2/P3n1PK/2R3R1/1Q3qN1 w - - 1 60,-236
7r/7p/3b1k1n/1bpp1PpP/2PPpB2/P3nNPK/2R3R1/1Q3q2 b - - 2 60,630
rnbqkb1r/ppppppp1/8/7p/4P1n1/N4N2/PPPP1PPP/R1BQKB1R w KQkq - 3 4,180
rnbqkb1r/ppppppp1/8/4P2p/8/NP3N2/P1PP1PPn/R1BQKB1R b KQkq - 0 5,26
rnbqkb1r/1pppppp1/8/p3P2p/8/NP3N2/P1PP1PPn/R1BQKB1R w KQkq - 0 6,373
rnbqkb1r/1pp1ppp1/3p4/p3P2p/2N5/1P3N2/P1PP1PPn/R1BQKB1R w KQkq - 0 7,361
rnbqkb1r/1pp1ppp1/3p4/p3P2p/2N5/1P3N2/PBPPBPPn/R1Q1K2R b KQq - 5 9,83
2bqkb1r/rpp1ppp1/2np4/p3P1Np/2N5/1P6/PBPP1PPn/R1QBK2R b KQ - 9 11,-136
2bqkb1r/rpp1ppp1/2np4/p3P1Np/2N5/1P3n2/PBPP1PP1/R1QBK2R w KQ - 10 12,423
2bqkb1r/rpp1ppp1/2np4/p3P1Np/2N5/1P3B2/PBPP1PP1/R1Q1K2R b KQ - 0 12,-392
2bqkb2/rpp1pppr/2np4/p3P1Np/2N5/1P3B2/PBPP1PP1/R1Q1K2R w KQ - 1 13,708
2bqkb2/rpp1pNpr/2np4/p3P2p/2N5/1P3B2/PBPP1PP1/R1Q1K2R b KQ - 0 13,-279
2bqkb2/rpp1pNp1/2np3r/p3P2p/2N5/1PB2B2/P1PP1PP1/R1Q1K2R b KQ - 2 14,-292
2bqkb2/rpp1pNp1/2n4r/p2pP2p/2N5/QPB2B2/P1PP1PP1/R3K2R b KQ - 1 15,-52
r1bqkb2/1pp1pNp1/2n4r/p2pP2p/2N5/QPB2B2/P1PP1PP1/R3K2R w KQ - 2 16,730
r1bqkb2/1pp1pNp1/2n4r/p2pP2p/2N5/QPB2BP1/P1PP1P2/R3K2R b KQ - 0 16,97
r1b1kb2/1pp1pNp1/2nq3r/p2pP2p/2N5/QPB2BP1/P1PP1P2/R3K2R w KQ - 1 17,726
r1b1kb2/1pp1pNp1/2nq3r/p2pP2R/2N5/QPB2BP1/P1PP1P2/R3K3 b Q - 0 17,-308
r1b1kb2/1pp1pNp1/2n2q1r/p2pP2R/Q1N5/1PB2BP1/P1PP1P2/R3K3 b Q - 2 18,315
2b1kb2/2p1pNp1/r1n2q1r/Bp2P2R/1Q1P2B1/PPp3P1/2P2P2/R3K3 w Q - 0 24,276
4kb2/2p1pNp1/r1nQ1q1r/Bp2Pb1R/3P4/PPp3P1/2P1BP2/R3K3 b Q - 3 25,236
4kb2/2p1pN2/r1nQ1q1r/Bp2PbpR/3P4/PPp3P1/2P1BP2/R3K3 w Q - 0 26,491
4kb2/2p1pN2/r1nQ1q1r/Bp2PbpR/3P4/PPp3P1/2P1BP2/2KR4 b - - 1 26,109
4kb2/2p1pN2/r1nQbq1r/Bp2P1pR/3P4/PPp3P1/2P1BP2/2KR4 w - - 2 27,365
4kb2/2Q1pN2/r1n1bq1r/Bp2P1pR/3P4/PPp3P1/2P1BP2/2KR4 b - - 0 27,-341
4kb2/2Q1pNq1/r1n1b2r/Bp2P1p1/3P3R/PPp3P1/2P1BP2/2KR4 b - - 2 28,-126
4kb2/2Q1pNq1/r1n1br2/Bp2P1p1/3P3R/PPp3P1/2P1BP2/2KR4 w - - 3 29,555
4kb2/3QpNq1/r1n1br2/Bp2P1p1/3P3R/PPp3P1/2P1BP2/2KR4 b - - 4 29,329
5b2/3kpNq1/r1n1br2/Bp2P1p1/3P3R/PPp3P1/2P1BP2/2KR4 w - - 0 30,-319
5b2/3kpNq1/r1n1br2/Bp2P1p1/3PR3/PPp3P1/2P1BP2/2KR4 b - - 1 30,419
1n3b2/r2kpNq1/4br2/Bp2P1p1/3PR3/PPp3P1/2P2P2/2KR1B2 w - - 4 32,-209
1n3b1N/r2kp3/4br1q/Bp2P1p1/3PRP2/PPp3P1/2P5/2KR1B2 b - - 0 33,486
1n3b1N/r2kp3/5r1q/Bp2P1p1/2bPRP2/PPp3P1/2P5/2KR1B2 w - - 1 34,-332
1n3b1N/r2kp2q/5r2/Bp2P1P1/2bPR1P1/PPp5/2P5/2KR1B2 b - - 0 35,510
5b1N/r2kp2q/n4r2/Bp2P1P1/1PbPR1P1/P1p5/2P5/2KR1B2 b - - 0 36,499
5b1N/r2kp2q/n4r2/Bp2P1P1/1P1PR1P1/P1p5/2P5/2KR1b2 w - - 0 37,-434
5b1N/r2kp2q/nr6/Bp2P1P1/1P1PR1P1/P1p5/2P5/2K2R2 w - - 1 38,-266
5b1N/r2kp3/nr6/Bp2P1Pq/1P1PR1P1/P1p5/2P5/2K1R3 w - - 3 39,475
5b2/r1nkpN1q/1r2P3/Bp4P1/1P1PR1P1/P1p1R3/2P5/2K5 b - - 0 41,448
4kb2/r1n1pN1q/1r2P3/Bp4P1/1P1PR1P1/P1pR4/2P5/2K5 b - - 2 42,533
4k3/r1n1pNbq/1r2P3/Bp4P1/1P1PR1P1/P1pR4/2P5/2K5 w - - 3 43,-443
n3k3/r3p1bq/1r2P2N/Bp4P1/1P1PR1P1/P1p3R1/2P5/2K5 b - - 6 44,646
n3k2b/2r1p2q/4r2N/Bp1P2P1/1P2R1P1/P1p5/2P5/2KR4 b - - 3 47,532
n3k2b/2r1p2q/7N/Bp1P2P1/1P2r1P1/P1p5/2P5/2KR4 w - - 0 48,-507
n3k2b/2r1p2q/7N/Bp1P2P1/1P1Rr1P1/P1p5/2P5/2K5 b - - 1 48,1144
n3k2b/4p2q/7N/BprP2P1/1P1Rr1P1/P1p5/2P5/2K5 w - - 2 49,-579
n3k2b/4p2q/7N/BprP2P1/1P2r1P1/P1p5/2P5/2KR4 b - - 3 49,676
n3k2b/7q/7N/BprPp1P1/1P2r1P1/P1p5/2P5/2KR4 w - e6 0 50,-426
n6b/3k3q/8/BprPpNP1/1P3rP1/P1pR4/2P5/2K5 w - - 4 52,-545
n2B3b/3k3q/8/1p1PpNP1/1Pr2rP1/P1pR4/2P5/2K5 w - - 6 53,-684
2kB3b/2n4q/8/1p1Pp1P1/1PrR1rP1/P1p3N1/2P5/2K5 w - - 10 55,-712
2k4b/2n5/5Bq1/1p1Pp1PN/1PrR1rP1/P1p5/2P5/2K5 b - - 13 56,884
2k1n2b/8/5Bq1/1p1Pp1PN/1PrR1rP1/P1p5/2P5/2K5 w - - 14 57,-622
2k1n2b/8/5Bq1/1p1Pp1PN/1Pr3r1/P1p5/2P1R3/2K5 b - - 1 58,9998
2k1n3/6b1/5Bq1/1p1Pp1PN/1Pr5/P1p5/2PR2r1/2K5 w - - 4 60,-692
2k1n3/6b1/5Bq1/1p1Pp1PN/1Pr5/P1p5/2P2Rr1/2K5 b - - 5 60,9998
r1bqkbnr/pppp2pp/2n1pp2/8/5B2/3P3P/PPP1PPP1/RN1QKBNR w KQkq - 0 4,-2
r1bqk1nr/pppp2pp/2nbpp2/8/4PB2/3P3P/PPP2PP1/RN1QKBNR w KQkq - 1 5,82
r1bqk1nr/pppp2pp/2nbpp2/8/4PB1P/3P4/PPP2PP1/RN1QKBNR b KQkq - 0 5,434
r1bq2nr/pppp1kpp/2nbpp2/8/4PB1P/3P4/PPPQ1PP1/RN2KBNR b KQ - 2 6,34
r1bq2nr/pppp1k1p/2nbpp2/6p1/4PB1P/3P4/PPPQ1PP1/RN2KBNR w KQ - 0 7,289
r1bq2nr/pppp1k1p/2nbpp2/6B1/4P2P/3P4/PPPQ1PP1/RN2KBNR b KQ - 0 7,22
r1bq2nr/pppp1k1p/2n1pp2/6B1/4P2P/b2P4/PPPQ1PPR/RN2KBN1 b Q - 2 8,342
r1bq2nr/pppp1k1p/4pp2/6B1/1n2P2P/b2P4/PPPQ1PPR/RN2KBN1 w Q - 3 9,531
r1bq2nr/ppp2k1p/3ppp2/6B1/1n1PP2P/b7/PPPQ1PPR/RN2KBN1 w Q - 0 10,563
r1bq1knr/ppp4p/4pp2/3p2B1/1n1PP2P/b2B4/PPPQ1PP1/RN2K1NR w Q - 2 12,444
r1bq1knr/ppp4p/4pp2/3p2B1/1n1PP2P/b2B3N/PPPQ1PP1/RN2K2R b Q - 3 12,-190
r1bq1knr/ppp4p/4pp2/3p2B1/1n1PP2P/3B3N/PbPQ1PP1/RN2K2R w Q - 0 13,516
r1bq1knr/ppp4p/4pp2/3p4/1n1PPB1P/3B3N/PbPQ1PP1/RN2K2R b Q - 1 13,283
r1bq1knr/pp5p/2p1pp2/3p4/1n1PPB1P/3B3N/PbP2PP1/RN1QK2R b Q - 1 14,313
r4knr/pp1b3p/1qp1pp2/3P4/1n1P3P/3B3N/PbPB1PP1/RN1QK2R b Q - 0 16,337
r5nr/pp1b2kp/1qp1pp2/3P2B1/1n1P3P/3B3N/PbP2PP1/RN1QK2R b Q - 2 17,337
r2q2nr/pp1b2kp/2p1pp2/3P2B1/1n1P3P/3B3N/PbP2PP1/RN1QK2R w Q - 3 18,-165
r2q2nr/pp1b2kp/2p1pp2/3P2B1/1n1P3P/3B3N/PbPN1PP1/R2QK2R b Q - 4 18,200
r2q2nr/1p1b2kp/2p1pp2/p2P2B1/1n1P3P/7N/PbPN1PP1/R2QKB1R b Q - 1 19,289
r2q2nr/1p1b2kp/2p1pp2/p2P2B1/3P3P/7N/PbnN1PP1/R2QKB1R w Q - 0 20,-123
r2q2nr/1p1b2kp/2p1pp2/p2P2B1/3P3P/7N/P1QN1PP1/R1b1KB1R w Q - 1 21,561
r2q2nr/1p1b2kp/2p1pp2/p2P2B1/3P3P/7N/P1QN1PP1/2R1KB1R b - - 0 21,-586
3q2nr/1p1b2kp/r1p1pp2/p2P2B1/3P3P/7N/P1QN1PP1/2R1KB1R w - - 1 22,830
3q2nr/1p1b2kp/r1Q1pp2/p2P2B1/3P3P/7N/P2N1PP1/2R1KB1R b - - 0 22,-103
q5nr/1p1b2kp/r1Q1pp2/p2P2B1/3P3P/7N/P2N1PP1/2RK1B1R b - - 2 23,186
q5nr/1p1b3p/1r2p1k1/p2P1pB1/P2P3P/2Q4N/3N1PP1/2RK1B1R w - - 0 26,792
q6r/1p1b3p/1r2p1kn/Q2P1pB1/P2P3P/7N/3N1PP1/2RK1B1R w - - 1 27,772
q6r/1p1b3p/1Q2p1kn/3P1pB1/P2P3P/7N/3N1PP1/2RK1B1R b - - 0 27,-798
7r/1p1b3p/qQ2p1kn/3P1pB1/P2P3P/7N/3N1PP1/2RK1B1R w - - 1 28,1068
7r/1p1b3p/qQ2p1kn/3P1pB1/P2P1P1P/7N/3N2P1/2RK1B1R b - - 0 28,-213
7r/1p1b1k1p/qQ1Pp2n/5pB1/P2P1P1P/7N/3N2P1/2RK1B1R b - - 0 29,-365
7r/1p1b1k1p/1Q1Pp2n/5pB1/P2P1P1P/7N/3Nq1P1/2RK1B1R w - - 1 30,1097
6r1/1p1b1k1p/1Q1Pp3/5pB1/P2P1PnP/3B3N/2RN4/3K3R w - - 6 35,1019
8/1p1b1k1p/1QRPp1r1/5pB1/P2P1PnP/3B3N/3N4/3K3R w - - 8 36,1111
8/1p1b1k1p/1Q1Pp1r1/2R2pB1/P2P1PnP/3B3N/3N4/3K3R b - - 9 36,-1123
8/1p1b1k1p/1Q1Pp2r/2R2pB1/P1NP1PnP/3B3N/8/3K3R b - - 11 37,-1068
5k2/1p1b3p/1Q1Pp2r/2R2pB1/P2P1P1P/3BN2N/5n2/3K3R w - - 14 39,1216
5k2/1p1b3p/1Q1Pp2r/2R2pB1/P2P1P1P/3BN3/5N2/3K3R b - - 0 39,-1230
5k2/1p5p/1Q1Pp2r/2R2BB1/3P1P1P/4N3/5N2/3bK2R b - - 0 41,-9996
5k2/1p5p/1Q1Pp2r/2RP1BB1/5PbP/4N3/5N2/4K2R b - - 0 42,-9995
5k2/1p5p/1Q1P3r/2Rp1BB1/5PbP/4N3/5N2/4K2R w - - 0 43,9998
5k2/1p5p/1Q1P3r/1R3BB1/4NP1P/4N3/8/4K2b w - - 0 46,9998
5k2/1p5p/1Q1P3r/1RN3B1/5PB1/4N3/8/4K2b w - - 2 48,9997
5k2/1p5p/1Q1P4/1RN3B1/5PB1/4N3/7r/3K3b w - - 4 49,9997
5k2/1p5p/1Q1P4/2N3B1/1R3PB1/4N3/7r/3K3b b - - 5 49,-1195
5k2/1p6/1Q1P4/2N3Bp/1R3P2/4N2B/5r2/3K3b w - - 2 51,9996
3B4/1p3k2/1Q1P4/2N4p/1R3P2/4N2B/5r2/3K3b w - - 4 52,9997
3B4/1p3k2/1Q1P4/2N4p/1R3P2/7B/5rN1/3K3b b - - 5 52,-1012
3B4/1p4k1/1Q1P4/2N4p/1R3P2/7B/5rN1/3K3b w - - 6 53,9997
6k1/1p6/1Q1P1B2/7p/1R3P2/3N3B/5rN1/3K3b b - - 9 54,-9993
6k1/1p6/1Q1P1B2/8/1R3P1p/3N3B/5rN1/3K3b w - - 0 55,9996
6k1/1p6/3P1B2/8/1R1Q1P1p/3N3B/5rN1/3K3b b - - 1 55,-1079
5k2/1p6/3P1B2/8/1R1Q1P1p/3N3B/5rN1/3K3b w - - 2 56,9994
5k2/1p6/3P1B2/8/1R3P1p/3N3B/1Q3rN1/3K3b b - - 3 56,-964
5k2/8/1p1P1B2/8/1R3P1p/3N3B/1Q1K2N1/7b w - - 0 58,9995
8/5k2/1p1P1B2/8/1R1Q1P1p/3N3B/3K2N1/7b w - - 2 59,9994
3B2k1/8/1p1P4/4N3/1R1Q1P1p/7B/3K2N1/7b b - - 5 60,-9995
r1b1kb1r/pp1ppppp/n4n2/q7/2p2P2/NP5P/P1PPP1P1/R1BQKBNR w KQkq - 0 6,111
1rb1kb1r/pp1ppppp/n4n2/2q2P2/2p5/1P5P/P1PPP1PR/RNBQKBN1 b Qk - 2 8,637
1rb1kb1r/pp1ppppp/n4n2/5P2/2p5/1P2q2P/P1PPP1PR/RNBQKBN1 w Qk - 3 9,513
1rb1kb1r/pp1ppppp/n4n2/5P2/2p5/BPNq3P/P1PPP1PR/R2QKBN1 b Qk - 6 10,9999
1rb1kb1r/pp1p1ppp/5P2/4p1Qn/1np5/BPN4P/P1P1PKPR/R4BN1 b k - 1 14,-597
1rb1kb1r/pp3ppp/5P2/3pp3/1np1N3/BP4nP/P1PQPKPR/R4BN1 b k - 1 16,282
r1b1kb1r/pp3ppp/5P2/3pp3/1Qp1N3/BP4nP/P1P1PKPR/R4BN1 b k - 0 17,-195
r1bk1b1r/pp3ppp/5P2/3pp3/1Qp1N3/BP4nP/P1P1PKPR/R4BN1 w - - 1 18,701
r1bk1b1r/pp3ppp/5P2/3pp3/1Qp1N2P/BP4n1/P1P1PKPR/R4BN1 b - - 0 18,-193
1r1k1b1r/pp3ppp/4bP2/3pp3/1Qp1N2P/BP4n1/P1P1PKPR/3R1BN1 w - - 3 20,749
1r1k1b1r/pp3ppp/1Q2bP2/3pp3/2p1N2P/BP4n1/P1P1PKPR/3R1BN1 b - - 4 20,-406
1r3b1r/pp1k1p1p/1Q1BbP2/3pp1p1/2p1N2P/1P2K1n1/P1PRP1PR/5BN1 b - - 1 23,83
1r3b1r/pp1k1p1p/1Q1BbP2/4p1p1/2ppN2P/1P2K1n1/P1PRP1PR/5BN1 w - - 0 24,280
1r3B1r/pp1k1p2/4bP1p/4p3/4N2p/1pPQK1n1/P2RP1PR/5BN1 b - - 0 27,-649
1r3B1r/pp3p2/2k1bP1p/4p3/4N2p/1pP1K1n1/P2RP1PR/1Q3BN1 b - - 2 28,-514
1r3r2/pp3p2/2k1bP1p/4p3/4N2p/1pP1K1n1/P2RP1PR/1Q3BN1 w - - 0 29,660
1r3r2/p4p2/1pk1bP1p/4p3/4N2R/1pP1K1n1/P2RP1P1/1Q3BN1 w - - 0 30,743
1r3r2/p4p2/1pkNbP1p/4pn2/7R/1pP1K3/P2RP1P1/1Q3BN1 w - - 2 31,790
1r5r/p4p2/1pk2P1p/3bpn2/4N2R/1pP2K2/P2RP1P1/1Q3BN1 w - - 6 33,619
1r4r1/p4p2/1pk2P1p/3bpn2/3RN3/1pP2K1R/P3P1P1/1Q3BN1 b - - 9 34,-258
1r6/p4p2/1pk2Prp/3bpn2/3RN3/1pP2K1R/P3P1P1/1Q3BN1 w - - 10 35,829
1r6/p4p2/1pk2P1p/3bpn2/4N3/1pP2K1R/P2RP1r1/1Q3BN1 w - - 0 36,676
1r6/p4p2/1pk2P1p/3bpn2/4N3/1pP2K1R/P1R1P1r1/2Q2BN1 w - - 4 38,575
1r6/p4p2/1pk2P1p/3bpn2/4N3/1pP2K1R/P1R1P1r1/1Q3BN1 b - - 5 38,-281
1r6/p4p2/1pk2P1p/4pn2/2b1N3/1pP2K1R/P1R1P1r1/1Q3BN1 w - - 6 39,592
1r6/p4p2/1pkN1P1p/4p3/2b5/1pP1nK1R/P1R1P1r1/1Q3BN1 w - - 8 40,689
1r6/p4p2/1pkN1P1p/4p3/2b5/1pP1nKR1/P1R1P1r1/1Q3BN1 b - - 9 40,-344
1r6/p4pR1/1p1k1P1p/4p3/2b5/1pP1nK2/P1R1P1r1/1Q3BN1 b - - 1 41,-270
