fen,cp
rnbqkbnr/pppp1ppp/4p3/8/1P6/3P3P/P1P1PPP1/RNBQKBNR w KQkq - 0 4,-2
rnbqkbnr/pppp1ppp/4p3/8/1P6/3P2PP/P1P1PP2/RNBQKBNR b KQkq - 0 4,105
rnbqk1nr/pppp1ppp/3bp3/8/1P6/3P2PP/P1PNPP2/R1BQKBNR b KQkq - 2 5,66
rnbqk1nr/pppp2pp/3bp3/5p2/1P6/3P2PP/P1PNPP2/R1BQKBNR w KQkq - 0 6,114
rnbqk2r/pp1p2pp/3bp2n/2p2p2/1P6/3P2PP/P1PNPPB1/1RBQK1NR w Kkq - 0 8,178
rnbqk2r/ppbp2pp/4p2n/2p2p2/1P2P3/3P2PP/P1PN1PB1/1RBQ1KNR b kq - 2 9,-39
rnb1k1nr/ppbp2p1/4p3/2p2p1p/1P2P2q/P2P2PP/2PNKPB1/1RBQ2NR w kq - 0 12,716
rnb1k1nr/ppbp2p1/4p3/2p2p1p/1P2PP2/P2P2qP/2PNK1B1/1RBQ2NR w kq - 0 13,90
rnb1k1nr/ppbp2p1/4p3/5p1p/1p2PP2/P2P1QqP/2PNK1B1/1RB3NR b kq - 1 14,98
rnb1k1nr/ppbp2p1/4p1q1/5p1p/1p2PP2/P2PKQ1P/2PN4/1RB3NR w kq - 2 16,-419
rnb1k1nr/ppbp2p1/4p1q1/5p1p/1p2PP2/PR1PKQ1P/2PN4/2B3NR b kq - 3 16,482
rnbk3r/ppbp2p1/4p2n/5p1p/1p2PP2/P2PKQ1P/2PN1R2/1RB3q1 b - - 1 19,699
rnbk1r2/ppbp2p1/4p2n/5p1p/1R2PP2/P2PKQ1P/2PN1R2/2B3q1 b - - 0 20,685
rnbk1r2/ppb3p1/3pp2n/5p1p/1R2PP2/P2PK2P/2PN1RQ1/2B3q1 b - - 1 21,705
r1bk4/ppb3p1/2nppr1n/5p1p/2R1PP2/P2PK2P/2PN1RQ1/2B3q1 w - - 4 23,228
r1bk4/ppb3p1/2nppr1n/5p1p/R3PP2/P2PK2P/2PN1Rq1/2B5 w - - 0 24,-681
r1bk4/ppb3p1/3ppr1n/n4p1p/R3PP2/P2PK2P/2PN2R1/2B5 w - - 1 25,-514
r1bk4/ppb3p1/3ppr1n/n4p1p/R3PP2/P2PK2P/2PN4/2B3R1 b - - 2 25,651
r1bk4/ppb2n2/3ppr2/n4Ppp/R4P2/P2PK2P/2PN4/2B3R1 w - - 1 27,-419
